Site Number,Site Option,TD Number,BTS Number,BTS Name,City,Community,Council District,Text Description of Location,Type,X-Coordinate,Y-Coordinate,Comments,Status,Reason for Removal,Description of Reason for Removal,# No,No Comments,# Yes,Yes Comments,Survey Demographic
73,,,,Figueroa & Pico,Los Angeles,,10,,None,-118.26798,34.04113,,Existing,,,2,,2,,
74,,,,Grand & 14th,Los Angeles,,10,,None,-118.26538,34.03746,,Existing,,,2,,4,,
75,,,,Grand & 3rd,Los Angeles,,10,,None,-118.25095,34.0532,,Existing,,,4,,0,,
76,,,,Grand & 7th,Los Angeles,,10,,None,-118.25698,34.04681,,Existing,,,4,,7,,
77,,,,Grand & Olympic,Los Angeles,,10,,None,-118.26014,34.04373,,Existing,,,0,,0,,
78,,,,Grand & Temple,Los Angeles,,10,,None,-118.24609,34.05832,,Existing,,,4,,8,,
79,,,,Grand & Washington,Los Angeles,,10,,None,-118.26808,34.03286,,Existing,,,2,,3,,
80,,,,Grand / LATTC,Los Angeles,,10,,None,-118.27031,34.0298,,Existing,,,3,,9,,
81,,,,Hill & College,Los Angeles,,10,,None,-118.23894,34.06428,,Existing,,,0,,10,,
82,,,,Hill & Washington,Los Angeles,,10,,None,-118.26709,34.03105,,Existing,,,4,,8,,
83,,,,Hoover & 29th,Los Angeles,,10,,None,-118.28411,34.02868,,Existing,,,3,,7,,
84,,,,Hope & 11th,Los Angeles,,10,,None,-118.26338,34.04206,,Existing,,,2,,10,,
85,,,,Hope & 1st,Los Angeles,,10,,None,-118.24897,34.05772,,Existing,,,0,,2,,
86,,,,Hope & 6th,Los Angeles,,10,,None,-118.25588,34.04989,,Existing,,,3,,3,,
87,,,,Hope & Olympic,Los Angeles,,10,,None,-118.26117,34.04417,,Existing,,,1,,1,,
88,,,,Imperial & 7th,Los Angeles,,10,,None,-118.23128,34.0348,,Existing,,,2,,8,,
89,,,,Industrial St & Mateo St,Los Angeles,,10,,None,-118.23317,34.0358,,Existing,,,4,,0,,
90,,,,Los Angeles & Temple,Los Angeles,,10,,None,-118.24156,34.0529,,Existing,,,2,,0,,
91,,,,Main & 1st,Los Angeles,,10,,None,-118.24353,34.05194,,Existing,,,2,,6,,
92,,,,Main & 4th,Los Angeles,,10,,None,-118.24642,34.04885,,Existing,,,1,,4,,
93,,,,Main & 5th,Los Angeles,,10,,None,-118.24835,34.04682,,Existing,,,4,,4,,
94,,,,Main & 6th,Los Angeles,,10,,None,-118.25024,34.04518,,Existing,,,3,,10,,
95,,,,Main & 9th,Los Angeles,,10,,None,-118.2558,34.04099,,Existing,,,4,,6,,
96,,,,New High & Ord,Los Angeles,,10,,None,-118.23833,34.06056,,Existing,,,5,,4,,
97,,,,Olive & 5th,Los Angeles,,10,,None,-118.25374,34.04804,,Existing,,,5,,6,,
98,,,,Olive & 8th,Los Angeles,,10,,None,-118.25667,34.04554,,Existing,,,0,,1,,
99,,,,Park & Echo Park,Los Angeles,,10,,None,-118.25873,34.07483,,Existing,,,2,,9,,
100,,,,Pico & Flower,Los Angeles,,10,,None,-118.2664,34.03998,,Existing,,,4,,7,,
101,,,,Severance & Adams,Los Angeles,,10,,None,-118.28095,34.03017,,Existing,,,1,,6,,
102,,,,Spring & 3rd,Los Angeles,,10,,None,-118.24716,34.04998,,Existing,,,4,,0,,
103,,,,Spring & College,Los Angeles,,10,,None,-118.23616,34.06339,,Existing,,,2,,2,,
104,,,,Stanford & 12th,Los Angeles,,10,,None,-118.25018,34.03189,,Existing,,,5,,6,,
105,,,,Traction & Rose,Los Angeles,,10,,None,-118.23741,34.04652,,Existing,,,5,,2,,
106,,,,Union Station West Portal,Los Angeles,,10,,None,-118.23721,34.05661,,Existing,,,4,,10,,
107,,,,University & Hoover,Los Angeles,,10,,None,-118.28341,34.02404,,Existing,,,1,,9,,
108,,,,Willow St & Mateo St,Los Angeles,,10,,None,-118.23253,34.03919,,Existing,,,0,,10,,
109,,,,Wilshire & Witmer,Los Angeles,,10,,None,-118.26636,34.05357,,Existing,,,0,,10,,
